Timestamp,ID,Rank,Title,Artist,Genre,Album,Number of Plays
11/7/2025 20:57:39,Lily,6,Unending,Renascentia,Metal,Face of the Abyss,400
11/7/2025 20:58:18,Lily,7,Eternal,Renascentia,Metal,Face of the Abyss,400
11/7/2025 20:59:05,Lily,8,The Faceless Beast,Renascentia,Metal,Face of the Abyss,400
11/7/2025 21:00:11,Lily,10,Chasing a Ghost,Renascentia,Metal,Chasing a Ghost - Single,200
11/7/2025 20:55:22,Elias,10,sLeepwALkeR,the pretty wild,Metal,Single,20
11/4/2025 12:59:28,Camila,5,Hunting Soul (English Version),Toshiro,Metal,Single,500
11/7/2025 22:38:21,Aria,5,Nightmare King,Christopher Larkin,Metal,Hollow Knight: Gods & Nightmares,51
11/7/2025 16:41:31,Hudson,1,Would You Fall in Love with Me Again,Jorge Rivera-Herrans,Musical Theatre,Epic the musical,70
11/7/2025 16:54:40,Hudson,5,Wouldn't You Like,Jorge Rivera-Herrans,Musical Theatre,EPIC: The Circe Saga,28
11/7/2025 17:01:55,Hudson,6,Ruthlessness,Jorge Rivera-Herrans,Musical Theatre,EPIC: The Ocean Saga,55
11/7/2025 16:58:40,Hudson,8,Just a Man,Jorge Rivera-Herrans,Musical Theatre,EPIC: The Troy Saga,46
11/3/2025 16:14:09,Ava,2,The Lovecats,The Cure,New Wave,Japanese Whispers,150
11/3/2025 16:26:00,Ava,4,Hanging on the Telephone,Blondie,New Wave,Parallel Lines,100
11/7/2025 22:18:10,Aria,9,The Safety Dance,Men Without Hats,New wave,Rhythm of Youth,13
11/7/2025 13:47:25,Ellie,6,Sparks,Hildur Guðnadóttir,Orchestral,Without Sinking,68
11/7/2025 23:00:29,Aria,3,Skarrsinger Karmelita,Christopher Larkin,Orchestral,Hollow Knight: Silksong (Original Soundtrack),19
11/3/2025 15:10:36,Sophia,3,Nightmare King,Christopher Larkin (Team Cherry),Orchestral,Gods and Nightmares,20
11/5/2025 17:52:45,Violet,3,Backseat Driver,Orla Gartland,Pop,Everybody Needs a Hero,110
11/8/2025 0:15:57,Julian,6,mr. sunshine,Arden Jones,Pop,age tape 0,500
11/10/2025 15:21:36,David,9,I Must Apologize,PinkPantheress,Pop,to hell with it,4
11/6/2025 4:17:23,Samuel,3,Sienna,The Marias,Pop,Submarine,20
11/3/2025 15:24:44,Isabella,5,SHADOWBORN,"Sawano Hiroyuki, Benjamin, mpi",Pop,Solo Leveling Season2 -Arise from the Shadow- Original Soundtrack,500
11/3/2025 16:12:19,Ava,1,Wuthering Heights,Kate Bush,Pop,The Kick Inside,250
11/3/2025 16:38:06,Ava,7,L'Amour Looks Something Like You,Kate Bush,Pop,The Kick Inside,200
11/7/2025 23:20:41,Dylan,7,Dream Sweet In Sea Major,Joe Hawley,Pop,Hawaii: part ii,100
11/7/2025 19:07:11,Nora,3,I / Me / Myself,Will Wood,Pop,The Normal Album,200
11/3/2025 16:22:45,Ava,3,For No One,The Beatles,Pop,Revolver,100
11/3/2025 15:11:57,Theodore,4,Let It Be,The Beatles,Pop,Let It Be,42
11/6/2025 14:57:46,Sebastian,8,Give Me Your Eyes,Brandon Heath,Pop,What If We,120
11/7/2025 22:36:23,Alexander,8,Chicago,Michael Jackson,Pop,XSCAPE,15
11/7/2025 22:16:45,Aria,10,Never Gonna Give You Up,Rick Astley,Pop,Whenever You Need Somebody,27
11/7/2025 19:12:00,Nora,6,Oblivion for Two,Mothica,Pop,Kissing Death,40
11/3/2025 16:41:49,Ava,10,"Sea, Swallow Me",Cocteau Twins,Pop,The Moon and the Melodies,150
11/3/2025 15:12:32,Oliver,10,"...well, better than the alternative",Will Wood,Pop,The Normal Album,30
11/5/2025 15:09:41,Sebastian,1,A Little Bit Of Everything,Lizzy McAlpine,Pop,Single,150
11/5/2025 15:10:43,Sebastian,2,Compass,Rosarrie,Pop,Single,500
11/5/2025 15:13:35,Sebastian,4,Apple Pie,Lizzy McAlpine,Pop,Give Me A Minute,250
11/5/2025 15:19:13,Sebastian,6,Ultimately,Khai Dreams,Pop,Single,300
11/6/2025 14:04:54,James,6,Cigarettes out the Window,TV Girl,Pop,Who Really Cares,20
11/6/2025 15:00:43,Sebastian,10,if you do,jodi,Pop,Single,50
11/7/2025 13:43:04,Chloe,1,Kekka Orai,Kocchi No Kento,Pop,Kekka Orai - My Hero Academia: Vigilantes Opening Theme Song - Single,98
11/7/2025 16:51:16,Hudson,4,"Love me, Love me, Love me",Kikuo,Pop,Kikuo Miku 3,40
11/7/2025 17:00:07,Hudson,7,Spoken For,FLAVOR FOLLY,Pop,Spoken For,26
11/7/2025 21:07:09,Elias,5,hollow,stray kids,Pop,japanese rock,35
11/3/2025 15:06:12,Noah,1,One Man Circus,Madilyn Mei,Pop,A Thousand Songs About It All: Act One,400
11/3/2025 15:11:27,Henry,1,Notion,The Rare Occasions,Pop,Notion,40
11/3/2025 15:13:59,Emma,10,Pink Pony Club,Chappell Roan,Pop,Single,25
11/3/2025 15:19:44,Henry,4,Snap Out of It,Arctic Monkeys,Pop,AM,25
11/3/2025 15:22:20,Henry,5,Better,Khalid,Pop,Better,34
11/3/2025 15:34:31,Henry,8,Still into You,Paramore,Pop,Paramore,20
11/3/2025 15:35:33,Henry,9,Space Song,Beach House,Pop,Depression Cherry,18
11/3/2025 16:04:17,Lucas,2,My Way,Frank Sinatra,Pop,My Way,30
11/3/2025 18:46:47,William,5,Touch,Katseye,Pop,SIS (Soft is Strong),35
11/3/2025 18:50:55,William,2,WHERE IS MY HUSBAND!,Raye,Pop,WHERE IS MY HUSBAND!,20
11/3/2025 18:53:24,William,6,House Tour,Sabrina Carpenter,Pop,Man's Best Friend,15
11/3/2025 18:54:46,William,10,The Fate of Ophelia,Taylor Swift,Pop,The Life of a Showgirl,10
11/4/2025 18:00:18,Theodore,6,Maneater,Nelly Furtado,Pop,Loose,46
11/5/2025 10:56:55,Harper,1,Celestial,Ed Sheeran,Pop,Celestial,100
11/5/2025 10:57:47,Harper,2,Treasure,Bruno Mars,Pop,Unorthodox Jukebox,90
11/5/2025 10:59:59,Harper,5,Heat Waves,Glass Animals,Pop,Dreamland,70
11/5/2025 11:01:31,Harper,7,Eternity,Alex Warren,Pop,"You'll Be Alright, Kid",50
11/5/2025 15:17:22,Sebastian,5,Live A Little,Chaz Cardigan,Pop,Single,120
11/5/2025 15:17:48,Eleanor,5,Mirrors,Justin Timberlake,Pop,The 20/20 Experience,9
11/7/2025 9:36:01,Hazel,4,Shape of you,Ed Sheeran,Pop,+(Deluxe),6
11/7/2025 9:37:25,Hazel,6,where is the love,Justein bieber,Pop,Single,9
